"StudentID","BMW","Ford","Infiniti","Jeep","Lexus","Chrysler","Mercedes","Saab","Porsche","Volvo"
153,8,7,4,6,5,1,2,3,9,1
154,9,3,1,4,7,6,8,3,7,1
155,7,2,5,6,6,5,7,5,4,2
156,9,4,2,6,3,5,7,8,1,1
157,6,4,6,3,5,2,6,7,5,3
158,7,7,2,8,8,1,5,7,7,6
159,7,4,1,5,1,1,6,4,9,1
160,6,1,2,1,3,1,8,9,2,5
162,6,8,5,7,6,1,8,1,8,6
163,7,7,2,6,3,1,9,8,6,7
164,6,5,5,6,6,1,6,5,6,2
165,5,2,6,5,8,1,3,2,5,1
166,6,5,3,7,8,1,6,3,4,2
167,7,5,6,3,8,1,9,4,2,1
168,7,4,2,5,2,1,5,7,2,5
169,4,7,6,7,4,1,3,6,4,1
170,4,8,3,8,7,1,5,4,5,3
171,5,6,1,4,3,1,4,2,7,1
172,7,4,1,6,5,1,6,1,1,3
173,9,4,3,4,4,1,4,7,6,4
174,6,1,7,2,8,1,9,4,5,3
175,6,5,5,6,7,1,8,5,7,3
176,6,7,4,6,5,2,7,7,8,3
177,3,2,4,1,4,1,5,7,9,1
178,6,6,7,7,7,2,7,5,4,3
179,9,4,2,3,5,1,7,3,6,1
180,8,2,3,4,7,1,9,5,6,1
181,7,4,5,6,5,2,6,5,7,2
182,5,4,5,8,5,1,5,5,1,3
183,7,8,7,8,8,5,6,7,5,8
184,8,8,4,9,4,1,7,6,7,6
185,8,4,4,2,8,1,6,5,5,6
186,5,6,3,7,2,2,7,6,9,2
187,7,7,4,9,6,3,6,4,7,2
188,9,5,7,6,6,1,8,7,7,1
189,9,6,5,5,8,2,7,4,5,8
190,3,6,7,6,7,1,8,3,7,5
191,5,2,6,4,6,3,9,5,8,7
192,6,5,4,7,8,4,8,4,9,6
193,7,6,2,8,6,1,7,9,5,6
194,9,7,8,5,5,1,6,4,3,1
195,4,6,3,7,4,1,5,3,8,3
196,9,8,1,7,3,1,4,6,5,2
197,2,7,2,8,4,3,5,3,8,6
198,7,2,3,3,6,5,8,1,3,2
199,7,6,4,7,5,1,3,9,3,6
200,7,5,4,6,4,2,6,7,8,5
201,7,9,3,8,4,1,5,4,7,5
202,9,7,2,3,4,1,6,5,8,1
203,5,9,2,4,7,6,1,2,1,8
204,9,6,7,7,6,5,8,6,9,5
205,7,6,3,4,5,2,8,1,9,1
206,7,8,2,4,3,1,5,9,4,6
207,8,4,6,5,7,3,7,7,5,4
208,2,9,3,8,4,1,5,6,2,1
209,9,6,4,5,5,1,8,7,3,2
210,7,7,2,8,2,1,5,3,4,2
211,2,6,7,5,8,4,6,7,2,4
212,7,7,8,6,6,2,7,8,8,5
213,2,1,4,6,7,8,5,3,1,9
214,7,7,8,5,8,3,6,4,4,3
215,6,5,4,9,3,1,7,2,8,1
216,9,5,1,6,2,1,7,4,3,1
217,5,8,2,7,5,1,1,8,6,4
218,6,7,7,6,8,6,6,8,5,3
219,9,4,1,5,2,1,8,6,7,3
220,9,5,3,7,6,4,8,4,6,5
221,2,6,4,3,4,2,2,7,2,2
222,7,4,2,5,8,1,6,6,9,5
223,7,2,6,4,3,1,8,3,6,5
224,7,2,6,3,7,4,8,3,6,4
225,7,8,3,8,6,1,6,2,8,1
226,7,2,4,3,5,1,8,6,9,1
227,8,3,5,3,8,1,7,7,7,1
228,5,5,2,5,5,1,5,7,8,6
229,6,5,6,7,4,6,7,6,1,9
230,8,2,9,1,8,2,7,5,9,6
231,7,2,5,1,4,1,3,4,9,1
232,8,2,5,1,4,1,6,7,5,1
233,8,8,1,8,3,1,1,9,2,1
234,7,4,6,5,8,1,9,2,3,1
235,7,3,4,2,3,1,7,6,8,2
237,8,5,6,3,6,1,8,7,7,4
238,4,5,6,6,4,2,4,7,3,7
239,7,3,1,6,3,1,6,7,8,5
240,8,4,2,6,3,1,9,5,7,1
241,6,8,4,1,8,1,5,2,6,5
242,8,4,3,9,5,1,2,1,7,6
243,9,1,2,2,5,1,8,4,7,6
244,4,9,3,8,2,3,5,1,1,7
245,8,7,5,7,6,4,8,6,8,7
246,7,6,6,6,7,2,7,6,9,6
247,7,2,6,2,7,4,7,8,6,6
248,7,8,4,8,2,1,6,3,6,1
249,7,4,5,6,6,2,6,3,9,2
250,7,8,2,3,6,1,8,4,3,9
251,9,7,3,5,4,2,6,8,1,1
252,8,3,3,5,1,1,6,4,8,1
253,7,4,4,6,5,4,8,6,8,5
254,2,3,5,8,1,9,1,7,6,4
255,6,7,4,8,3,1,7,9,6,1
256,9,1,6,7,5,1,8,2,7,5
257,6,5,4,6,5,4,5,7,6,5
258,4,7,7,5,9,3,8,5,1,7
259,8,6,7,8,8,5,8,8,8,7
261,7,3,5,3,5,2,5,6,6,4
262,8,6,7,4,8,3,6,8,8,5
263,6,4,8,4,6,3,5,2,9,1
264,7,4,6,7,5,3,8,5,8,2
265,6,8,2,6,3,1,5,1,8,1
266,9,4,6,7,6,5,9,9,7,8
267,7,4,6,4,8,1,6,6,8,5
268,6,5,4,4,4,6,8,1,9,1
269,9,1,4,1,6,2,7,8,6,3
270,7,1,6,7,7,1,8,6,9,5
271,8,4,1,6,5,7,7,4,7,6
272,6,4,3,7,1,1,4,6,6,1
273,9,9,6,6,8,4,8,6,8,3
274,7,1,4,5,6,2,8,3,9,1
275,7,5,5,6,8,3,6,4,7,5
276,7,3,4,3,6,2,7,2,4,8
277,7,6,7,4,8,3,2,1,9,1
278,6,3,2,4,6,1,6,9,6,8
279,7,5,1,7,4,1,7,6,8,4
281,7,5,3,7,4,1,8,3,8,1
282,8,2,4,2,6,1,4,3,9,1
283,8,3,5,6,8,2,6,4,9,4
284,6,4,7,1,5,7,6,2,6,8
285,6,6,6,2,9,3,8,8,7,2
286,9,6,2,8,4,1,9,2,7,1
287,7,1,3,5,3,5,6,7,8,8
288,9,2,4,1,5,1,8,3,6,7
289,9,6,8,7,9,5,7,7,7,3
290,8,6,2,1,4,1,3,7,9,1
291,7,1,5,2,6,1,7,6,3,2
292,5,7,2,9,1,1,5,4,7,3
293,9,2,3,6,2,1,8,7,9,4
294,8,6,1,5,1,4,7,3,9,3
295,7,4,2,6,5,1,9,2,8,1
296,9,4,7,6,6,1,8,3,6,1
297,6,6,6,4,7,1,8,7,8,4
298,9,7,5,6,4,1,5,2,8,1
299,7,6,4,4,4,1,5,7,7,1
300,6,9,4,7,3,1,4,8,3,5
301,6,9,4,6,7,1,4,3,8,3
302,5,6,2,7,3,1,4,9,8,1
303,7,5,6,6,7,8,7,7,7,4
